game,difficulty,model,model_short,provider,timestamp,run_id,repeat,total_score,Executability,Executability Contribution,Functionality,Functionality Contribution,Code Quality,Code Quality Contribution,UX,UX Contribution
super_mario_bros,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.722,1.0,0.2,0.6,0.3,0.62,0.093,0.86,0.129
super_mario_bros,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.49949999999999994,0.0,0.0,0.6,0.3,0.67,0.1005,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.672,1.0,0.2,0.5,0.25,0.62,0.093,0.86,0.129
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
tower_defense,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.7295,1.0,0.2,0.6,0.3,0.67,0.1005,0.86,0.129
tower_defense,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.7115,1.0,0.2,0.6,0.3,0.47,0.0705,0.94,0.141
tower_defense,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.48749999999999993,0.0,0.0,0.6,0.3,0.59,0.0885,0.66,0.099
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.7620000000000001,1.0,0.2,0.8,0.4,0.44,0.066,0.64,0.096
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.8205,1.0,0.2,0.8,0.4,0.77,0.11549999999999999,0.7,0.105
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.804,1.0,0.2,0.8,0.4,0.66,0.099,0.7,0.105
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.7265,1.0,0.2,0.6,0.3,0.65,0.0975,0.86,0.129
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.7475,1.0,0.2,0.6,0.3,0.79,0.1185,0.86,0.129
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.74,1.0,0.2,0.6,0.3,0.74,0.111,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.742,1.0,0.2,0.7,0.35,0.48,0.072,0.8,0.12
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.7975000000000001,1.0,0.2,0.7,0.35,0.79,0.1185,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.7735000000000001,1.0,0.2,0.7,0.35,0.63,0.0945,0.86,0.129
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.6859999999999999,1.0,0.2,0.6,0.3,0.49,0.0735,0.75,0.11249999999999999
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.6900000000000001,1.0,0.2,0.5,0.25,0.74,0.111,0.86,0.129
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.7204999999999999,1.0,0.2,0.6,0.3,0.58,0.087,0.89,0.1335
tetris,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.4635,0.0,0.0,0.6,0.3,0.49,0.0735,0.6,0.09
tetris,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.707,1.0,0.2,0.6,0.3,0.52,0.078,0.86,0.129
tetris,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.7145,1.0,0.2,0.6,0.3,0.67,0.1005,0.76,0.11399999999999999
space_invaders,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.6950000000000001,1.0,0.2,0.6,0.3,0.44,0.066,0.86,0.129
